song_id,Song,Artist,Position,Last Week,Peak,Weeks on Chart,Week,Year,Decade,Month
1796,EAT YOUR HEART OUT,PAUL HARDCASTLE,86,LW:RE,59,6,1985-01-06,1985,1980,1
1674,EAST OF EDEN,BIG COUNTRY,90,LW:RE,17,7,1985-01-06,1985,1980,1
1748,GOLDEN DAYS,BUCKS FIZZ,91,LW:RE,42,5,1985-01-06,1985,1980,1
1733,WALK AWAY,THE SISTERS OF MERCY,93,LW:RE,45,4,1985-01-06,1985,1980,1
1858,YOU MIGHT THINK,THE CARS,94,LW:RE,88,5,1985-01-06,1985,1980,1
1894,HEARTLESS,EVELYN THOMAS,95,LW:RE,95,3,1985-01-06,1985,1980,1
1242,HEARTBEAT,THE PSYCHEDELIC FURS,97,LW:RE,62,6,1985-01-06,1985,1980,1
1786,FOVER YOUNG,ALPHAVILLE,98,LW:RE,98,2,1985-01-06,1985,1980,1
917,WHITE LINES (DON'T DO IT),GRANDMASTER FLASH AND MELLE MEL,83,LW:RE,7,55,1985-01-13,1985,1980,1
1898,SURCTION JOE,THE CULT,88,LW:RE,74,3,1985-01-13,1985,1980,1
1868,TONIGHT,DAVID BOWIE,94,LW:RE,53,5,1985-01-13,1985,1980,1
1635,PRIDE (IN THE NAME OF LOVE),U2,99,LW:RE,3,17,1985-01-13,1985,1980,1
1790,SPECT YOURSELF,THE KANE GANG,75,LW:RE,21,11,1985-01-20,1985,1980,1
1789,HALF A MINUTE,MATT BIANCO,87,LW:RE,23,11,1985-01-20,1985,1980,1
1808,ALL JOIN HANDS,SLADE,96,LW:RE,15,10,1985-01-20,1985,1980,1
1851,NO MERCY,THE STRANGLERS,99,LW:RE,37,8,1985-01-20,1985,1980,1
